alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.6761766666666666,0.8333333333333334,0.5641666666666667,0.6761766666666666,0.7714133333333333,0.6041666666666666,0.64383,0.7714133333333333
0.05,0.7047533333333333,0.8289866666666666,0.5606166666666667,0.7047533333333333,0.7904700000000001,0.5833333333333334,0.6298166666666667,0.7904700000000001
0.1,0.7285533333333334,0.8362366666666666,0.5709966666666666,0.7285533333333334,0.8190466666666667,0.6083333333333333,0.6456166666666667,0.8190466666666667
0.2,0.69523,0.8231966666666666,0.5457633333333334,0.69523,0.7952233333333333,0.5791666666666667,0.6207266666666666,0.7952233333333333
