alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.5999800000000001,0.6608999999999999,0.34998,0.5999800000000001,0.8571000000000001,0.25,0.5,0.8571000000000001
0.05,0.54284,0.5753699999999999,0.2824933333333333,0.54284,1.0,0.25,0.5385000000000001,1.0
0.1,0.45239999999999997,0.38694999999999996,0.18458333333333332,0.45239999999999997,1.0,0.125,0.5,1.0
0.2,0.45239999999999997,0.38694999999999996,0.18458333333333332,0.45239999999999997,1.0,0.125,0.5,1.0
