alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.5333366666666667,0.8022233333333334,0.5201,0.5333366666666667,0.6944466666666667,0.5555599999999999,0.6805,0.6944466666666667
0.05,0.54444,0.79112,0.5139366666666666,0.54444,0.6999966666666667,0.5111133333333333,0.6593333333333333,0.6999966666666667
0.1,0.5361100000000001,0.8177800000000001,0.55047,0.5361100000000001,0.65278,0.5481533333333334,0.66505,0.65278
0.2,0.5333366666666667,0.7733266666666666,0.4897733333333333,0.5333366666666667,0.7138833333333333,0.4851766666666667,0.6505333333333333,0.7138833333333333
