alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.6095133333333334,0.6797233333333333,0.36455333333333334,0.6095133333333334,0.7761866666666667,0.225,0.46976666666666667,0.7761866666666667
0.05,0.6666566666666667,0.6826266666666666,0.38838333333333336,0.6666566666666667,0.8380833333333333,0.2375,0.49233666666666664,0.8380833333333333
0.1,0.6666566666666667,0.6724833333333333,0.38084,0.6666566666666667,0.8428466666666666,0.2125,0.48613666666666666,0.8428466666666666
0.2,0.6666633333333334,0.6739333333333334,0.38161,0.6666633333333334,0.8380866666666668,0.2125,0.48557666666666666,0.8380866666666668
