alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.8014566666666667,0.9422133333333333,0.7517933333333333,0.8014566666666667,0.85072,0.8798466666666668,0.7973233333333333,0.85072
0.05,0.8232033333333334,0.9354733333333333,0.7372666666666666,0.8232033333333334,0.8652133333333333,0.8589133333333334,0.7745133333333333,0.8652133333333333
0.1,0.84639,0.9140766666666666,0.68024,0.84639,0.8912933333333334,0.80621,0.7159233333333332,0.8912933333333334
0.2,0.8666633333333333,0.8905233333333334,0.6297333333333334,0.8666633333333333,0.90724,0.74419,0.65898,0.90724
