alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.4449133333333333,0.8229333333333333,0.34768666666666664,0.4449133333333333,0.5405766666666667,0.6023233333333333,0.42368666666666666,0.5405766666666667
0.05,0.4521666666666667,0.82079,0.3500833333333333,0.4521666666666667,0.5666733333333334,0.60698,0.44026333333333334,0.5666733333333334
0.1,0.42898000000000003,0.81743,0.3329533333333333,0.42898000000000003,0.5318866666666666,0.5922566666666668,0.41208666666666666,0.5318866666666666
0.2,0.4391333333333333,0.8113066666666666,0.3324533333333333,0.4391333333333333,0.5492833333333333,0.5806133333333334,0.4149,0.5492833333333333
