alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.46112000000000003,0.8544466666666667,0.5597033333333333,0.46112000000000003,0.5,0.5852266666666667,0.6177866666666667,0.5
0.05,0.5249900000000001,0.8455533333333334,0.5770466666666666,0.5249900000000001,0.5833,0.5852266666666667,0.6533599999999999,0.5833
0.1,0.5527833333333334,0.8222166666666666,0.55408,0.5527833333333334,0.6667,0.5852266666666667,0.6828599999999999,0.6667
0.2,0.5916633333333333,0.8377733333333334,0.59309,0.5916633333333333,0.6667,0.5852266666666667,0.6828599999999999,0.6667
