alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.67618,0.7014666666666667,0.40767333333333333,0.67618,0.8571000000000001,0.30416666666666664,0.5200166666666667,0.8571000000000001
0.05,0.7237966666666666,0.65654,0.39103333333333334,0.7237966666666666,1.0,0.30416666666666664,0.55819,1.0
0.1,0.69999,0.5927600000000001,0.34621,0.69999,1.0,0.18333333333333332,0.5181766666666666,1.0
0.2,0.69999,0.5927600000000001,0.34621,0.69999,1.0,0.18333333333333332,0.5181766666666666,1.0
