alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.29419,0.7950966666666667,0.23091,0.29419,0.4913,0.58604,0.38815000000000005,0.4913
0.05,0.2594166666666667,0.7948000000000001,0.21030333333333334,0.2594166666666667,0.43623,0.57443,0.35281,0.43623
0.1,0.28840333333333334,0.7969333333333334,0.22899666666666668,0.28840333333333334,0.4579666666666667,0.5759633333333334,0.3649866666666667,0.4579666666666667
0.2,0.28985000000000005,0.79755,0.23079999999999998,0.28985000000000005,0.4898433333333333,0.5938,0.3925133333333333,0.4898433333333333
