alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.18887333333333334,0.6686366666666667,0.09485333333333333,0.18887333333333334,0.43332,0.3000166666666667,0.21859,0.43332
0.05,0.36666333333333334,0.6764833333333333,0.16191333333333333,0.36666333333333334,0.63334,0.32858333333333334,0.29091666666666666,0.63334
0.1,0.38888999999999996,0.6450966666666667,0.16539333333333334,0.38888999999999996,0.74447,0.29047999999999996,0.3201833333333333,0.74447
0.2,0.36667,0.6274566666666667,0.15234,0.36667,0.76669,0.2666733333333333,0.32352000000000003,0.76669
