alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.48695333333333335,0.83608,0.38514,0.48695333333333335,0.5637766666666667,0.6255833333333334,0.44615333333333335,0.5637766666666667
0.05,0.5130433333333334,0.8278300000000001,0.38928666666666667,0.5130433333333334,0.58841,0.6038666666666667,0.44453333333333334,0.58841
0.1,0.4869566666666667,0.8327233333333334,0.38392333333333334,0.4869566666666667,0.57682,0.6240333333333333,0.4548333333333333,0.57682
0.2,0.5115966666666667,0.8259899999999999,0.38417,0.5115966666666667,0.5971033333333333,0.6046600000000001,0.4469533333333333,0.5971033333333333
