alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.7571166666666667,0.76666,0.4991766666666667,0.7571166666666667,0.8571000000000001,0.43333333333333335,0.57436,0.8571000000000001
0.05,0.8666533333333334,0.74782,0.5125666666666667,0.8666533333333334,1.0,0.43333333333333335,0.61114,1.0
0.1,0.8714133333333333,0.7173999999999999,0.48678000000000005,0.8714133333333333,1.0,0.3333333333333333,0.57038,1.0
0.2,0.8714133333333333,0.7173999999999999,0.48678000000000005,0.8714133333333333,1.0,0.3333333333333333,0.57038,1.0
