alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.7804,0.7663033333333333,0.38040666666666667,0.7804,0.9411966666666667,0.5,0.45992333333333335,0.9411966666666667
0.05,0.7666633333333334,0.7447966666666667,0.3550833333333333,0.7666633333333334,0.9313933333333334,0.44913000000000003,0.43235666666666667,0.9313933333333334
0.1,0.7941300000000001,0.73547,0.35597,0.7941300000000001,0.9313866666666667,0.41404,0.4168533333333333,0.9313866666666667
0.2,0.8117733333333333,0.7250800000000001,0.35125,0.8117733333333333,0.9431466666666667,0.3859666666666667,0.4087733333333333,0.9431466666666667
