alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.46470666666666666,0.6329833333333333,0.18912333333333334,0.46470666666666666,0.90198,0.29736999999999997,0.36656,0.90198
0.05,0.48627,0.62617,0.19357666666666665,0.48627,0.9353133333333333,0.2859666666666667,0.37063666666666667,0.9353133333333333
0.1,0.4725433333333333,0.5856633333333333,0.17339666666666667,0.4725433333333333,0.9411933333333333,0.19562,0.3445566666666667,0.9411933333333333
0.2,0.49608,0.5799266666666667,0.17838,0.49608,0.96276,0.18070666666666665,0.3451633333333334,0.96276
