alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.6568633333333334,0.8623766666666667,0.47174,0.6568633333333334,0.7294166666666667,0.6956166666666667,0.5214666666666666,0.7294166666666667
0.05,0.66276,0.8767066666666667,0.4999266666666667,0.66276,0.72942,0.7280733333333334,0.5510666666666667,0.72942
0.1,0.6490266666666666,0.8595133333333334,0.46168333333333333,0.6490266666666666,0.72942,0.6921066666666668,0.5173,0.72942
0.2,0.6705966666666666,0.8638066666666667,0.48005000000000003,0.6705966666666666,0.7313766666666667,0.69386,0.5227966666666667,0.7313766666666667
