alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.2607833333333333,0.7680966666666666,0.16832333333333332,0.2607833333333333,0.4843166666666667,0.5324533333333333,0.31614,0.4843166666666667
0.05,0.2627366666666667,0.7652233333333334,0.16932666666666665,0.2627366666666667,0.48628333333333335,0.52544,0.31567,0.48628333333333335
0.1,0.23529,0.76093,0.1505166666666667,0.23529,0.47255,0.5210533333333334,0.30645,0.47255
0.2,0.2764666666666667,0.77814,0.18533333333333335,0.2764666666666667,0.49804,0.5561366666666667,0.33303,0.49804
