alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.4686166666666666,0.8211700000000001,0.3253166666666667,0.4686166666666666,0.7059,0.6842,0.5,0.7059
0.05,0.31761999999999996,0.75232,0.18999333333333332,0.31761999999999996,0.7647,0.6053,0.4643,0.7647
0.1,0.40196333333333334,0.7508966666666667,0.22708666666666666,0.40196333333333334,0.7647,0.5788999999999999,0.4483,0.7647
0.2,0.43137000000000003,0.7412,0.2330866666666667,0.43137000000000003,0.7647,0.5788999999999999,0.4483,0.7647
