alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.21595,0.9262933333333333,0.3820366666666667,0.21595,0.4348,0.9302,0.7692,0.4348
0.05,0.2609,0.8902066666666666,0.3339533333333333,0.2609,0.4783,0.8605,0.6471,0.4783
0.1,0.34924999999999995,0.9086033333333333,0.44625333333333334,0.34924999999999995,0.5217,0.8605,0.6667,0.5217
0.2,0.26524000000000003,0.8728133333333333,0.3055266666666666,0.26524000000000003,0.5217,0.8372,0.6316,0.5217
