alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.4202866666666667,0.7837866666666666,0.29052,0.4202866666666667,0.6869733333333333,0.5945833333333334,0.47734666666666664,0.6869733333333333
0.05,0.45217333333333337,0.7492366666666667,0.27740333333333334,0.45217333333333337,0.76087,0.52946,0.4663066666666667,0.76087
0.1,0.46956000000000003,0.72172,0.2657833333333333,0.46956000000000003,0.8058033333333333,0.47441666666666665,0.4521833333333333,0.8058033333333333
0.2,0.4782666666666667,0.6844133333333333,0.24484666666666666,0.4782666666666667,0.8492700000000001,0.39843,0.43121,0.8492700000000001
