alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.26232,0.9363966666666667,0.46580333333333335,0.26232,0.4348,0.9309766666666667,0.7713366666666667,0.4348
0.05,0.2941966666666667,0.9036833333333334,0.39238999999999996,0.2941966666666667,0.4783,0.8635933333333334,0.6524866666666667,0.4783
0.1,0.3739,0.9119366666666667,0.4732166666666667,0.3739,0.5217,0.8635933333333334,0.6719266666666666,0.5217
0.2,0.3173766666666667,0.8902133333333334,0.3787933333333333,0.3173766666666667,0.5217,0.83953,0.63511,0.5217
