alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.2500033333333333,0.7044433333333333,0.24739666666666665,0.2500033333333333,0.58612,0.46296333333333334,0.5977033333333334,0.58612
0.05,0.29444666666666663,0.7066666666666667,0.29375666666666667,0.29444666666666663,0.6166733333333333,0.45185333333333333,0.6021433333333334,0.6166733333333333
0.1,0.25277333333333335,0.6733266666666666,0.24225666666666665,0.25277333333333335,0.6166566666666667,0.3962833333333334,0.5809033333333333,0.6166566666666667
0.2,0.29723,0.6988800000000001,0.2867733333333333,0.29723,0.58611,0.3814633333333333,0.5611833333333334,0.58611
