alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.16666333333333333,0.6392166666666667,0.07937,0.16666333333333333,0.43332,0.23811333333333332,0.20557999999999998,0.43332
0.05,0.25555,0.63137,0.10694666666666668,0.25555,0.5111066666666667,0.21430666666666667,0.22303666666666666,0.5111066666666667
0.1,0.43333,0.5843133333333334,0.15951666666666667,0.43333,0.76669,0.13333666666666666,0.2801433333333333,0.76669
0.2,0.42222,0.58039,0.15442333333333333,0.42222,0.75558,0.12381333333333333,0.27505,0.75558
