alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.45383999999999997,0.5402233333333334,0.30833666666666665,0.45383999999999997,0.92309,0.09583333333333334,0.6241133333333334,0.92309
0.05,0.44358,0.5172333333333333,0.29357333333333335,0.44358,0.9359133333333334,0.05,0.6155733333333333,0.9359133333333334
0.1,0.44358,0.5160833333333333,0.29317666666666664,0.44358,0.9384766666666666,0.05,0.6162066666666667,0.9384766666666666
0.2,0.44871,0.5183866666666667,0.2964733333333333,0.44871,0.9384733333333333,0.05,0.6161366666666667,0.9384733333333333
