alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.64761,0.6826366666666667,0.38282333333333335,0.64761,0.8571000000000001,0.2708333333333333,0.5075833333333333,0.8571000000000001
0.05,0.6428533333333334,0.6130533333333333,0.33698666666666666,0.6428533333333334,1.0,0.2708333333333333,0.5459666666666667,1.0
0.1,0.6095233333333334,0.53623,0.2877166666666666,0.6095233333333334,1.0,0.14583333333333334,0.5064166666666666,1.0
0.2,0.6095233333333334,0.53623,0.2877166666666666,0.6095233333333334,1.0,0.14583333333333334,0.5064166666666666,1.0
