alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.0,0.90396,0.0,0.0,0.0,0.8618633333333333,0.0,0.0
0.05,0.08888,0.87648,0.13333333333333333,0.08888,0.3333,0.8618633333333333,0.5166666666666667,0.3333
0.1,0.15555,0.8137133333333334,0.12778,0.15555,0.6667,0.8618633333333333,0.6778099999999999,0.6667
0.2,0.15555,0.8137133333333334,0.12778,0.15555,0.6667,0.8618633333333333,0.6778099999999999,0.6667
