alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.5,0.8355266666666668,0.5491333333333334,0.5,0.5,0.5556,0.6,0.5
0.05,0.5027766666666666,0.8033300000000001,0.50581,0.5027766666666666,0.5833,0.5556,0.6364,0.5833
0.1,0.35830666666666666,0.7122166666666666,0.3324833333333333,0.35830666666666666,0.6667,0.5556,0.6667,0.6667
0.2,0.4305833333333334,0.7410866666666666,0.3995633333333333,0.4305833333333334,0.6667,0.5556,0.6667,0.6667
