alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.65237,0.7333266666666667,0.4246166666666667,0.65237,0.7809366666666667,0.3458333333333333,0.5164133333333333,0.7809366666666667
0.05,0.6666666666666666,0.7202933333333333,0.41724,0.6666666666666666,0.8047500000000001,0.31666666666666665,0.5126866666666666,0.8047500000000001
0.1,0.6714300000000001,0.7116033333333333,0.41006666666666663,0.6714300000000001,0.8047500000000001,0.2875,0.5008333333333334,0.8047500000000001
0.2,0.6857133333333334,0.7072533333333334,0.41470333333333337,0.6857133333333334,0.8285533333333334,0.2833333333333333,0.5055266666666667,0.8285533333333334
