alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.2722333333333333,0.87871,0.3265033333333333,0.2722333333333333,0.6055699999999999,0.8422366666666666,0.6471766666666666,0.6055699999999999
0.05,0.23333666666666666,0.8416666666666667,0.23396666666666668,0.23333666666666666,0.6055633333333332,0.7688900000000001,0.5802433333333333,0.6055633333333332
0.1,0.25555666666666665,0.83242,0.21681999999999998,0.25555666666666665,0.5833333333333334,0.7289033333333333,0.48427666666666663,0.5833333333333334
0.2,0.28334,0.79815,0.19392666666666666,0.28334,0.6388866666666666,0.6577833333333333,0.4306233333333333,0.6388866666666666
