alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.49855666666666665,0.8061066666666666,0.3531166666666667,0.49855666666666665,0.6927599999999999,0.61241,0.48995333333333335,0.6927599999999999
0.05,0.5637766666666667,0.7880666666666667,0.36026,0.5637766666666667,0.7826133333333334,0.5798533333333334,0.49938000000000005,0.7826133333333334
0.1,0.55942,0.7559533333333334,0.3285133333333333,0.55942,0.8101533333333334,0.51551,0.4734966666666667,0.8101533333333334
0.2,0.6072500000000001,0.7201766666666667,0.31543333333333334,0.6072500000000001,0.8536199999999999,0.42247666666666667,0.442,0.8536199999999999
