alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.34926999999999997,0.76666,0.24174,0.34926999999999997,0.6942233333333333,0.5930233333333333,0.47906333333333334,0.6942233333333333
0.05,0.38550333333333336,0.7412766666666666,0.23926333333333333,0.38550333333333336,0.7565266666666666,0.5426366666666667,0.4711266666666667,0.7565266666666666
0.1,0.4000066666666667,0.6996933333333334,0.22125666666666666,0.4000066666666667,0.8188433333333334,0.46279333333333333,0.45030333333333333,0.8188433333333334
0.2,0.42029,0.6633066666666667,0.20953333333333335,0.42029,0.8579766666666667,0.38062,0.42652,0.8579766666666667
