alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.22172666666666666,0.7651333333333333,0.16712666666666667,0.22172666666666666,0.47101,0.5379766666666668,0.35102666666666665,0.47101
0.05,0.19855666666666666,0.7626866666666667,0.1499,0.19855666666666666,0.4594166666666667,0.5379866666666667,0.34765666666666667,0.4594166666666667
0.1,0.24202333333333334,0.76911,0.18446333333333334,0.24202333333333334,0.48406000000000005,0.5441866666666667,0.36421333333333333,0.48406000000000005
0.2,0.25506,0.76574,0.18901666666666667,0.25506,0.5275333333333333,0.5519333333333333,0.38854,0.5275333333333333
