alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.6681266666666666,0.88043,0.5455033333333332,0.6681266666666666,0.7086966666666666,0.71861,0.5787,0.7086966666666666
0.05,0.6594266666666667,0.8795166666666667,0.5402433333333333,0.6594266666666667,0.7058033333333333,0.7193833333333333,0.5781533333333333,0.7058033333333333
0.1,0.6666766666666667,0.8733933333333334,0.5291033333333333,0.6666766666666667,0.7130466666666667,0.70388,0.5663566666666667,0.7130466666666667
0.2,0.66377,0.8755333333333334,0.5334966666666666,0.66377,0.7043499999999999,0.7062,0.5659299999999999,0.7043499999999999
