alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.21014,0.7755333333333333,0.16514,0.21014,0.43912666666666667,0.5534833333333334,0.3452,0.43912666666666667
0.05,0.22898666666666667,0.7749133333333333,0.17595333333333332,0.22898666666666667,0.4449266666666667,0.54497,0.3448033333333333,0.4449266666666667
0.1,0.22897666666666666,0.77247,0.18028333333333332,0.22897666666666666,0.44928,0.5410833333333334,0.34371666666666667,0.44928
0.2,0.22028666666666666,0.7727866666666667,0.17276,0.22028666666666666,0.4550666666666667,0.5496266666666667,0.35007333333333335,0.4550666666666667
