alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.23333333333333334,0.7544766666666667,0.14992333333333333,0.23333333333333334,0.46863,0.5043866666666666,0.29613,0.46863
0.05,0.22744,0.7562633333333333,0.14168333333333333,0.22744,0.47058999999999995,0.5122766666666666,0.29752666666666666,0.47058999999999995
0.1,0.23137333333333335,0.75161,0.14457333333333333,0.23137333333333335,0.47450666666666663,0.50087,0.29735333333333336,0.47450666666666663
0.2,0.23333,0.7501800000000001,0.15131666666666668,0.23333,0.46469999999999995,0.4920933333333333,0.29563,0.46469999999999995
