alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.6444500000000001,0.8118966666666666,0.6044766666666667,0.6444500000000001,0.80554,0.5833333333333334,0.7516200000000001,0.80554
0.05,0.65001,0.81666,0.61388,0.65001,0.8221933333333333,0.6166666666666667,0.77102,0.8221933333333333
0.1,0.6388966666666666,0.8142766666666666,0.6073333333333333,0.6388966666666666,0.8110866666666666,0.6083333333333333,0.7652666666666668,0.8110866666666666
0.2,0.63334,0.78332,0.5605133333333333,0.63334,0.81109,0.5083333333333333,0.7182533333333333,0.81109
