alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.44999666666666666,0.74048,0.43143666666666664,0.44999666666666666,0.6667,0.525,0.68003,0.6667
0.05,0.5166666666666667,0.7166533333333334,0.44332333333333335,0.5166666666666667,0.8333,0.525,0.7262000000000001,0.8333
0.1,0.5166666666666667,0.7166533333333334,0.44332333333333335,0.5166666666666667,0.8333,0.525,0.7262000000000001,0.8333
0.2,0.5166666666666667,0.7166533333333334,0.44332333333333335,0.5166666666666667,0.8333,0.525,0.7262000000000001,0.8333
