alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.2722266666666667,0.75093,0.14937333333333333,0.2722266666666667,0.5777766666666667,0.5244533333333333,0.3300466666666667,0.5777766666666667
0.05,0.3555533333333333,0.7731566666666667,0.21596333333333334,0.3555533333333333,0.6055499999999999,0.5555533333333333,0.3583233333333334,0.6055499999999999
0.1,0.2888966666666667,0.74907,0.15523666666666666,0.2888966666666667,0.62222,0.5311066666666666,0.34642666666666666,0.62222
0.2,0.30554666666666663,0.7036966666666667,0.15231333333333333,0.30554666666666663,0.6333333333333333,0.4199966666666667,0.3087733333333333,0.6333333333333333
