alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.7388933333333333,0.82222,0.5251033333333334,0.7388933333333333,0.9888866666666666,0.6733333333333333,0.6367966666666667,0.9888866666666666
0.05,0.72778,0.7972199999999999,0.46044666666666667,0.72778,0.98333,0.6155466666666667,0.56963,0.98333
0.1,0.7000066666666667,0.7444500000000001,0.35884666666666665,0.7000066666666667,0.98333,0.5000033333333334,0.4704933333333333,0.98333
0.2,0.72778,0.7314766666666667,0.3438166666666666,0.72778,0.9777766666666667,0.4555666666666667,0.4377333333333333,0.9777766666666667
