alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.37948666666666664,0.7275966666666667,0.3815433333333333,0.37948666666666664,0.62307,0.4083333333333333,0.6314833333333333,0.62307
0.05,0.40512333333333334,0.7287366666666667,0.40375333333333335,0.40512333333333334,0.6666633333333334,0.44166666666666665,0.65718,0.6666633333333334
0.1,0.37436,0.7298933333333333,0.38602333333333333,0.37436,0.65386,0.475,0.6792866666666666,0.65386
0.2,0.4128133333333333,0.7103433333333334,0.39347333333333334,0.4128133333333333,0.6846233333333333,0.39166666666666666,0.6446866666666666,0.6846233333333333
