alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.31282,0.6781733333333333,0.30714,0.31282,0.6358933333333333,0.35833333333333334,0.6218133333333333,0.6358933333333333
0.05,0.2974333333333333,0.6793033333333334,0.29224666666666665,0.2974333333333333,0.6153933333333333,0.3541666666666667,0.6013733333333333,0.6153933333333333
0.1,0.28717666666666664,0.6885133333333333,0.2897433333333333,0.28717666666666664,0.5769166666666667,0.3416666666666667,0.58713,0.5769166666666667
0.2,0.34870999999999996,0.68162,0.33621666666666666,0.34870999999999996,0.66154,0.3541666666666667,0.6298133333333333,0.66154
