alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.24361333333333332,0.7287033333333334,0.28684,0.24361333333333332,0.6154,0.625,0.7273,0.6154
0.05,0.3922933333333333,0.7620533333333335,0.42502333333333336,0.3922933333333333,0.6923,0.625,0.75,0.6923
0.1,0.3922933333333333,0.7620533333333335,0.42502333333333336,0.3922933333333333,0.6923,0.625,0.75,0.6923
0.2,0.47946666666666665,0.80115,0.51944,0.47946666666666665,0.6154,0.5,0.6667,0.6154
