alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.8611133333333334,0.9240766666666667,0.7399933333333333,0.8611133333333334,0.97222,0.8622233333333333,0.8042366666666666,0.97222
0.05,0.86111,0.89721,0.6521399999999999,0.86111,0.9777766666666667,0.7999866666666667,0.71424,0.9777766666666667
0.1,0.8777733333333334,0.8712833333333333,0.5688366666666667,0.8777733333333334,0.9833333333333333,0.7333466666666666,0.62157,0.9833333333333333
0.2,0.8777766666666668,0.82686,0.48247,0.8777766666666668,0.9888899999999999,0.62888,0.5311066666666666,0.9888899999999999
