alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.37777999999999995,0.67381,0.34154666666666667,0.37777999999999995,0.7222233333333333,0.375,0.64433,0.7222233333333333
0.05,0.42777666666666664,0.6714333333333333,0.36845666666666665,0.42777666666666664,0.7944266666666666,0.4,0.6720266666666668,0.7944266666666666
0.1,0.42222333333333334,0.6666666666666666,0.3629,0.42222333333333334,0.7888733333333333,0.38333333333333336,0.6659400000000001,0.7888733333333333
0.2,0.40556000000000003,0.6357166666666667,0.32361,0.40556000000000003,0.7888733333333333,0.3,0.6292333333333333,0.7888733333333333
