ego_vehicle,route_length,pedestrians,npc_vehicles,outside_route_lanes,carla_version,completion_score,simulation_time,driving_score,system_time,infraction,weather
vehicle.bmw.isetta,207.01921297077124,141.0,177,0,10,100.0,114.40000170469284,100.0,428.0753593444824,none,0
vehicle.bmw.isetta,82.7731237397857,145.0,177,0,10,100.0,147.3500021956861,100.0,675.2462112903595,none,1
vehicle.bmw.isetta,178.9391330373126,144.0,177,0,10,100.0,82.70000123232603,100.0,342.8726530075073,none,2
vehicle.bmw.isetta,238.10978756392848,144.0,177,0,10,100.0,100.95000150427222,100.0,430.044704914093,none,3
vehicle.bmw.isetta,223.3329029008772,143.0,177,0,10,100.0,194.1000028923154,100.0,899.2173676490784,none,1
vehicle.bmw.isetta,167.56487086493937,145.0,177,0,10,100.0,84.75000126287341,100.0,370.27134370803833,none,4
vehicle.bmw.isetta,194.9718798637444,145.0,177,0,10,98.7442561934532,412.500006146729,98.7442561934532,1638.5952155590055,none,5
vehicle.bmw.isetta,115.88590957775584,142.0,177,0,10,100.0,36.75000054761768,100.0,153.07884764671326,none,6
vehicle.bmw.isetta,43.096043644042815,140.0,177,0,10,100.0,204.75000305101275,100.0,924.9378452301024,none,3
vehicle.bmw.isetta,58.63827134877027,,177,0,10,0.0,0.050000000745058,0.0,0.4096448421478271,red_light,1
vehicle.bmw.isetta,77.26589929384768,143.0,177,0,10,94.29132728064047,102.95000153407454,66.00392909644833,412.5409243106842,red_light,6
vehicle.bmw.isetta,162.78504929646405,147.0,177,0,10,100.0,164.85000245645642,100.0,612.2394144535065,none,4
vehicle.bmw.isetta,198.33133495156537,140.0,177,0,10,100.0,133.50000198930502,100.0,589.2721524238586,none,7
vehicle.bmw.isetta,101.61206212778252,146.0,177,0,10,100.0,78.25000116601586,100.0,284.8962404727936,none,8
vehicle.bmw.isetta,114.14997116258075,144.0,177,0,10,100.0,148.6500022150576,100.0,546.045538187027,none,8
vehicle.bmw.isetta,89.85816825817592,146.0,177,0,10,95.32920477938252,263.7000039294362,95.32920477938252,1082.632685422897,none,3
vehicle.bmw.isetta,117.1820118020656,145.0,176,0,10,100.0,125.35000186786056,100.0,439.5845010280609,none,5
vehicle.bmw.isetta,124.7108900544878,146.0,177,0,10,100.0,100.70000150054692,100.0,340.2405741214752,none,6
vehicle.bmw.isetta,97.85226981529962,141.0,177,0,10,100.0,215.00000320374969,100.0,1117.1859765052795,none,9
vehicle.bmw.isetta,152.4820958031289,142.0,177,0,10,100.0,74.70000111311674,100.0,295.22293305397034,none,2
vehicle.bmw.isetta,273.33199613203595,146.0,177,0,10,100.0,292.4500043578446,100.0,1127.2620024681091,none,8
vehicle.bmw.isetta,174.53322915148334,147.0,176,0,10,100.0,126.45000188425183,100.0,501.9427309036255,none,5
vehicle.bmw.isetta,56.30132988530262,141.0,177,0,10,100.0,78.90000117570162,100.0,310.46957778930664,none,10
vehicle.bmw.isetta,187.8028807307963,148.0,177,0,10,97.27652706649673,411.10000612586737,97.27652706649673,1348.5738854408264,none,7
vehicle.bmw.isetta,148.57995264526733,144.0,177,0,10,100.0,77.05000114813447,100.0,287.36309933662415,none,3
vehicle.bmw.isetta,67.64448743494455,142.0,177,0,10,100.0,23.75000035390258,100.0,83.9977297782898,none,1
vehicle.bmw.isetta,247.34437197628097,146.0,177,0,10,100.0,226.1000033691525,100.0,862.4031457901001,none,9
vehicle.bmw.isetta,185.99463978365304,143.0,177,0,10,100.0,50.30000074952841,100.0,181.0652527809143,none,11
vehicle.bmw.isetta,50.992664209856144,146.0,177,0,10,100.0,42.200000628829,100.0,147.76776790618896,none,12
vehicle.bmw.isetta,80.77520493729264,141.0,177,0,10,100.0,410.6000061184168,100.0,1627.068398952484,none,2
vehicle.bmw.isetta,154.22773630668453,145.0,177,0,10,100.0,116.70000173896553,100.0,499.5336802005768,none,8
vehicle.bmw.isetta,81.18335428520193,141.0,177,0,10,96.88424732039968,365.5000054463744,96.88424732039968,1603.9198956489563,none,13
vehicle.bmw.isetta,126.51974353648706,147.0,177,0,10,100.0,113.75000169500709,100.0,392.3589005470276,none,1
vehicle.bmw.isetta,275.5098342056596,145.0,177,0,10,94.86921838602709,208.90000311285257,66.40845287021895,734.9047057628632,red_light,12
vehicle.bmw.isetta,161.0705508614438,145.0,177,0,10,100.0,58.3000008687377,100.0,268.6141710281372,none,8
vehicle.bmw.isetta,212.21998513514657,143.0,177,0,10,11.618400398877082,11.650000173598528,6.971040239326249,47.64229226112366,collisions_vehicle,14
vehicle.bmw.isetta,92.67208641879182,141.0,177,0,10,100.0,43.55000064894557,100.0,186.01233983039856,none,13
vehicle.bmw.isetta,155.64995003145023,146.0,177,0,10,100.0,87.35000130161643,100.0,311.0315845012665,none,13
vehicle.bmw.isetta,168.14150198346732,139.0,177,0,10,100.0,144.6000021547079,100.0,677.302460193634,none,8
vehicle.bmw.isetta,135.6931039120751,145.0,176,0,10,100.0,208.0500031001866,100.0,822.628732919693,none,12
vehicle.bmw.isetta,121.9713958242025,145.0,177,0,10,100.0,140.10000208765268,100.0,552.1491711139679,none,15
vehicle.bmw.isetta,90.0830794673052,141.0,177,0,10,100.0,136.10000202804804,100.0,498.0795390605927,none,14
vehicle.bmw.isetta,71.692100036983,148.0,176,0,10,100.0,217.65000324323773,100.0,938.818426132202,none,14
vehicle.bmw.isetta,195.33833164299287,146.0,177,0,10,97.72647362481806,347.5000051781535,97.72647362481806,1210.7846858501434,none,13
vehicle.bmw.isetta,96.40022461549356,144.0,177,0,10,100.0,138.00000205636024,100.0,648.2785134315491,none,5
vehicle.bmw.isetta,151.55090419619987,144.0,177,0,10,100.0,112.05000166967513,100.0,412.8332748413086,none,11
vehicle.bmw.isetta,185.7261592234176,153.0,177,0,10,100.0,267.7500039897859,100.0,1038.0984888076782,none,4
vehicle.bmw.isetta,141.90401885803934,139.0,176,0,10,100.0,179.00000266730785,100.0,576.9176023006439,none,1
vehicle.bmw.isetta,159.02180304401404,149.0,177,0,10,100.0,40.70000060647726,100.0,187.11528182029724,none,1
