ego_vehicle,route_length,pedestrians,npc_vehicles,outside_route_lanes,carla_version,completion_score,simulation_time,driving_score,system_time,infraction,weather
vehicle.bmw.isetta,83.59873826094632,0,120,0,10,100.0,35.700000531971455,100.0,359.46009731292725,none,0
vehicle.bmw.isetta,326.46289454712144,0,120,0,10,100.0,129.9500019364059,100.0,1021.2642138004304,none,0
vehicle.bmw.isetta,310.51499937633105,0,120,0,10,100.0,83.40000124275684,100.0,564.356910943985,none,0
vehicle.bmw.isetta,334.39002329383925,0,120,0,10,100.0,145.30000216513872,100.0,1432.5382030010223,none,0
vehicle.bmw.isetta,78.99352533935645,0,120,0,10,100.0,47.000000700354576,100.0,502.5202167034149,none,0
vehicle.bmw.isetta,316.4820829944565,0,120,0,10,100.0,85.30000127106905,100.0,534.883131980896,none,0
vehicle.bmw.isetta,83.59873826094632,0,120,0,10,100.0,80.0000011920929,100.0,588.1721968650818,none,0
vehicle.bmw.isetta,326.46289454712144,0,120,0,10,100.0,68.00000101327896,100.0,526.8601353168488,none,0
vehicle.bmw.isetta,310.51499937633105,0,120,0,10,100.0,62.05000092461705,100.0,561.8471884727478,none,0
vehicle.bmw.isetta,334.39002329383925,0,120,0,10,100.0,61.05000090971589,100.0,482.2902073860169,none,0
vehicle.bmw.isetta,78.99352533935645,0,120,0,10,100.0,46.65000069513917,100.0,345.6922585964203,none,0
vehicle.bmw.isetta,316.4820829944565,0,120,0,10,100.0,64.95000096783042,100.0,483.6880114078522,none,0
vehicle.bmw.isetta,61.94757622419835,0,120,0,10,100.0,42.05000062659383,100.0,259.4666368961334,none,0
vehicle.bmw.isetta,55.71251834771494,0,120,0,10,100.0,15.800000235438349,100.0,193.66122317314148,none,0
vehicle.bmw.isetta,55.41121556217197,0,120,0,10,100.0,28.90000043064356,100.0,271.28030371665955,none,0
vehicle.bmw.isetta,61.58523811688995,0,120,0,10,100.0,39.90000059455633,100.0,371.528284072876,none,0
vehicle.bmw.isetta,60.85623744415566,0,120,0,10,100.0,27.60000041127205,100.0,186.38809418678284,none,0
vehicle.bmw.isetta,60.57136272504224,0,120,0,10,100.0,28.90000043064356,100.0,258.42795753479004,none,0
vehicle.bmw.isetta,61.68555879782448,0,120,0,10,100.0,43.10000064224005,100.0,310.15986800193787,none,0
vehicle.bmw.isetta,55.41616043336074,0,120,0,10,100.0,34.650000516325235,100.0,261.42011189460754,none,0
vehicle.bmw.isetta,55.295861513545525,0,120,0,10,100.0,15.050000224262476,100.0,184.1269018650055,none,0
vehicle.bmw.isetta,61.00178018503786,0,120,0,10,100.0,43.10000064224005,100.0,318.26192140579224,none,0
vehicle.bmw.isetta,60.83781726315381,0,120,0,10,100.0,40.95000061020255,100.0,298.68795800209045,none,0
vehicle.bmw.isetta,60.92792055053716,0,120,0,10,100.0,28.8500004298985,100.0,235.26396131515503,none,0
vehicle.bmw.isetta,55.24653262480497,0,120,0,10,100.0,24.850000370293856,100.0,144.33233976364136,none,0
vehicle.bmw.isetta,55.59823106089415,0,120,0,10,100.0,28.700000427663326,100.0,208.4685251712799,none,0
vehicle.bmw.isetta,60.90306747539447,0,120,0,10,100.0,48.95000072941184,100.0,375.9205276966095,none,0
vehicle.bmw.isetta,60.69758307301105,0,120,0,10,100.0,43.15000064298511,100.0,269.8802797794342,none,0
