ego_vehicle,route_length,pedestrians,npc_vehicles,outside_route_lanes,carla_version,completion_score,simulation_time,driving_score,system_time,infraction,weather
vehicle.bmw.isetta,83.59873826094632,0,120,0.0,10,100.0,154.10000229626894,100.0,986.9132511615752,none,0
vehicle.bmw.isetta,326.46289454712144,0,120,1.49,10,100.0,146.25000217929482,98.50612343696228,884.0912516117096,none,0
vehicle.bmw.isetta,310.51499937633105,0,120,0.0,10,25.262396584635965,332.5000049546361,25.262396584635965,2414.7432436943054,none,0
vehicle.bmw.isetta,334.39002329383925,0,120,81.04,10,100.0,87.80000130832195,18.95792686766824,494.8639557361603,none,0
vehicle.bmw.isetta,78.99352533935645,0,120,0.0,10,25.967598952768263,6.400000095367432,16.87893931929937,37.29489159584045,collisions_layout,0
vehicle.bmw.isetta,316.4820829944565,0,120,0.0,10,100.0,72.70000108331442,100.0,428.5382618904114,none,0
vehicle.bmw.isetta,83.59873826094632,0,120,0.0,10,100.0,85.65000127628446,100.0,540.3934063911438,none,0
vehicle.bmw.isetta,326.46289454712144,0,120,2.37,10,100.0,143.85000214353204,97.62527947581678,864.3257319927216,none,0
vehicle.bmw.isetta,310.51499937633105,0,120,0.0,10,24.726642186601605,313.0500046648085,24.726642186601605,2006.195277929306,none,0
vehicle.bmw.isetta,334.39002329383925,0,120,80.38,10,100.0,537.5000080093741,19.624617001815142,3807.387691736221,none,0
vehicle.bmw.isetta,78.99352533935645,0,120,0.0,10,25.967598952768263,6.45000009611249,16.87893931929937,37.87406325340271,collisions_layout,0
vehicle.bmw.isetta,316.4820829944565,0,120,10.52,10,24.17389927142182,30.600000455975533,12.978065770960134,179.2086992263794,collisions_vehicle,0
vehicle.bmw.isetta,61.94757622419835,0,120,0.0,10,100.0,76.70000114291906,100.0,485.3432469367981,none,0
vehicle.bmw.isetta,55.71251834771494,0,120,34.26,10,66.44626111287344,206.8500030823052,43.67984739412835,1453.188071489334,none,0
vehicle.bmw.isetta,55.41121556217197,0,120,0.0,10,100.0,64.75000096485019,100.0,373.8237519264221,none,0
vehicle.bmw.isetta,61.58523811688995,0,120,0.0,10,100.0,46.30000068992376,100.0,332.9041676521301,none,0
vehicle.bmw.isetta,60.85623744415566,0,120,0.0,10,100.0,31.80000047385693,100.0,183.74498462677,none,0
vehicle.bmw.isetta,60.57136272504224,0,120,0.0,10,73.73381821602848,27.500000409781933,44.24029092961709,170.95512056350708,collisions_vehicle,0
vehicle.bmw.isetta,61.68555879782448,0,120,0.0,10,100.0,47.40000070631504,100.0,287.4608554840088,none,0
vehicle.bmw.isetta,55.41616043336074,0,120,0.0,10,65.30895732158827,21.60000032186508,42.45082225903238,150.11768317222595,collisions_layout,0
vehicle.bmw.isetta,55.295861513545525,0,120,0.0,10,50.482688079142086,49.65000073984265,32.81374725144236,335.8264398574829,collisions_layout,0
vehicle.bmw.isetta,61.00178018503786,0,120,0.0,10,100.0,35.950000535696745,100.0,211.9120523929596,none,0
