alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.3376733333333333,0.7620766666666667,0.23257,0.3376733333333333,0.6840766666666667,0.5821799999999999,0.46992999999999996,0.6840766666666667
0.05,0.3507266666666667,0.7281366666666667,0.21818666666666667,0.3507266666666667,0.7391333333333333,0.5186066666666667,0.45363666666666663,0.7391333333333333
0.1,0.36955333333333334,0.69877,0.20789,0.36955333333333334,0.8115966666666666,0.47286666666666666,0.45348666666666665,0.8115966666666666
0.2,0.38550333333333336,0.6581033333333333,0.19377666666666665,0.38550333333333336,0.8333366666666666,0.37285666666666667,0.41659,0.8333366666666666
