alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.50784,0.83048,0.35432,0.50784,0.7059,0.6842,0.5,0.7059
0.05,0.4058866666666667,0.7652133333333333,0.23975666666666667,0.4058866666666667,0.7647,0.6061766666666666,0.4648733333333333,0.7647
0.1,0.42353,0.7501666666666666,0.23714333333333334,0.42353,0.7647,0.57978,0.4488333333333333,0.7647
0.2,0.47058666666666665,0.7577,0.26205666666666666,0.47058666666666665,0.7647,0.57978,0.4488333333333333,0.7647
