alpha,Directed Sensitivity,Directed Specificity,Directed Precision,Directed Recall,Undirected Sensitivity,Undirected Specificity,Undirected Precision,Undirected Recall
0.01,0.5254866666666667,0.8326266666666666,0.36527333333333334,0.5254866666666667,0.7157,0.6929666666666667,0.5106366666666667,0.7157
0.05,0.55687,0.8010833333333333,0.33915999999999996,0.55687,0.7647,0.6298466666666667,0.4808866666666667,0.7647
0.1,0.5431333333333334,0.7881699999999999,0.32087333333333334,0.5431333333333334,0.7647,0.60877,0.46725666666666665,0.7647
0.2,0.5607966666666666,0.7878166666666666,0.3270133333333333,0.5607966666666666,0.76666,0.6078933333333333,0.4673,0.76666
